CustomerID,OrderTimestamp,AOV,CustomerRating,Feedback,,,,,Rates of bad to Total Reviews
CUST_0189,2/3/2025 20:22,382.18,1,Poor packaging.,,,,,0.785
CUST_0467,2/1/2025 18:44,395.13,1,Delivery was very late.,,,,,
CUST_0131,3/19/2025 22:14,418.74,1,App glitches caused trouble.,,,,,
CUST_0188,7/20/2025 21:20,527.28,1,Wrong items delivered.,,,,,
CUST_0320,2/14/2025 22:13,197.37,1,App glitches caused trouble.,,,,,
CUST_0265,5/22/2025 21:33,389.97,1,Delivery was very late.,,,,,
CUST_0428,4/11/2025 22:47,436.83,1,Poor packaging.,,,,,
CUST_0035,6/17/2025 22:02,582.1,1,App glitches caused trouble.,,,,,
CUST_0390,6/16/2025 18:44,486.72,1,Wrong items delivered.,,,,,
CUST_0106,7/4/2025 21:03,668.77,1,Very bad experience.,,,,,
CUST_0280,2/14/2025 18:37,267.8,1,Very bad experience.,,,,,
CUST_0065,7/5/2025 22:32,342.57,1,Delivery was very late.,,,,,
CUST_0048,3/27/2025 18:39,151.19,1,Delivery was very late.,,,,,
CUST_0214,5/19/2025 18:53,422.18,1,Wrong items delivered.,,,,,
CUST_0283,4/19/2025 18:46,191.07,1,Delivery was very late.,,,,,
CUST_0461,4/28/2025 22:27,552.48,1,Delivery was very late.,,,,,
CUST_0231,6/22/2025 22:47,388.19,1,App glitches caused trouble.,,,,,
CUST_0143,7/11/2025 22:20,416.6,1,Customer support unhelpful.,,,,,
CUST_0128,5/17/2025 21:20,313.69,1,Very bad experience.,,,,,
CUST_0377,3/23/2025 20:35,255.25,1,Delivery was very late.,,,,,
CUST_0359,6/28/2025 18:34,523.32,1,Poor packaging.,,,,,
CUST_0463,3/29/2025 22:48,420.71,1,Wrong items delivered.,,,,,
CUST_0113,5/4/2025 21:24,407.48,1,Poor packaging.,,,,,
CUST_0385,4/3/2025 20:43,478.56,1,Delivery was very late.,,,,,
CUST_0255,5/4/2025 21:52,301.72,1,Very bad experience.,,,,,
CUST_0098,3/19/2025 22:48,373.9,1,Poor packaging.,,,,,
CUST_0451,3/17/2025 18:57,407.24,1,App glitches caused trouble.,,,,,
CUST_0424,4/30/2025 20:41,670.81,1,App glitches caused trouble.,,,,,
CUST_0338,3/17/2025 18:30,319.33,1,App glitches caused trouble.,,,,,
CUST_0140,7/10/2025 18:10,410.36,1,App glitches caused trouble.,,,,,
CUST_0453,3/30/2025 22:25,234.27,1,App glitches caused trouble.,,,,,
CUST_0153,4/13/2025 20:17,342.27,1,Delivery was very late.,,,,,
CUST_0208,3/26/2025 21:27,430.46,1,Very bad experience.,,,,,
CUST_0264,3/7/2025 21:14,174.35,1,Customer support unhelpful.,,,,,
CUST_0226,2/24/2025 19:36,50,1,Wrong items delivered.,,,,,
CUST_0471,2/20/2025 20:49,326.29,1,Wrong items delivered.,,,,,
CUST_0323,3/27/2025 22:25,448.59,1,Delivery was very late.,,,,,
CUST_0490,4/14/2025 20:12,604.68,1,App glitches caused trouble.,,,,,
CUST_0417,2/23/2025 18:44,452.28,1,Poor packaging.,,,,,
CUST_0036,2/21/2025 22:42,279.16,1,Very bad experience.,,,,,
CUST_0142,5/28/2025 19:45,234.1,1,Wrong items delivered.,,,,,
CUST_0060,2/7/2025 20:17,439.63,1,Wrong items delivered.,,,,,
CUST_0370,3/2/2025 19:07,579.88,1,Delivery was very late.,,,,,
CUST_0089,6/23/2025 20:34,306.34,1,Wrong items delivered.,,,,,
CUST_0487,6/5/2025 19:02,361.09,1,Poor packaging.,,,,,
CUST_0451,4/19/2025 19:17,577.32,1,App glitches caused trouble.,,,,,
CUST_0144,4/1/2025 22:18,474.35,1,Poor packaging.,,,,,
CUST_0435,3/3/2025 18:04,449.29,1,Wrong items delivered.,,,,,
CUST_0094,6/4/2025 19:28,294.23,1,Poor packaging.,,,,,
CUST_0432,4/20/2025 20:09,252.91,1,Customer support unhelpful.,,,,,
CUST_0254,6/19/2025 20:51,464.37,1,Customer support unhelpful.,,,,,
CUST_0493,5/20/2025 18:23,533.05,1,Customer support unhelpful.,,,,,
CUST_0336,6/19/2025 19:14,503.67,1,Customer support unhelpful.,,,,,
CUST_0247,6/15/2025 18:27,512.49,1,Delivery was very late.,,,,,
CUST_0330,6/2/2025 22:38,468.63,1,Wrong items delivered.,,,,,
CUST_0253,2/2/2025 20:14,331.44,1,Customer support unhelpful.,,,,,
